EQUIPMENT,DESCRIPTION,MODEL,CAPACITY,FLYWHEEL HORSEPOWER,Fixed Price,Base Price
Dynamic Pile Testing (includes professional fee of Structural Engineer & reports),Dynamic Pile Testing (includes professional fee of Structural Engineer & reports),,0,0," ?103,000.00 ","103,000.00"
Pile Integrity Testing & accessories (includes professional fee of Structural Engineer & reports),Pile Integrity Testing & accessories (includes professional fee of Structural Engineer & reports),,0,0," ?37,000.00 ","37,000.00"
Grinding Machine & accessories,Grinding Machine & accessories,,0,0, ?163.82 ,163.82
Stressing (Jack) Machine,Stressing (Jack) Machine,,0,0," ?2,500.00 ","2,500.00"
Dolly,Dolly,,0,0," ?1,249.00 ","1,249.00"
Wood/Steel Ladder,Wood/Steel Ladder,,0,0, ?112.91 ,112.91
Air Compressor ,Air Compressor ,,0,103, ?866.25 ,
Drilling Machine Dry Type,Drilling Machine Dry Type,,0,0, ?375.00 ,
Pull Out Tester ,Pull Out Tester ,,50 tons Capacity,0," ?1,250.00 ",
Power Spray,Power Spray,,0,0, ?187.50 ,
